win_width,win_step,nb_species,nb_replic,f_opt_max,seqgen_par0,seqgen_par1,seqgen_par2,scaling_factor0,scaling_factor1,scaling_factor2,lv_q_func_ratio_avg,lv_rand_ratio_avg
14,14,16,30,1,"-q -mGTR","-q -mGTR","-q -mGTR",0.1,1,1,6.29394782338704,0.983361061653704
14,14,16,30,1,"-q -mGTR","-q -mGTR","-q -mGTR",0.11,1,1,5.33790504105213,0.988411702030305
14,14,16,30,1,"-q -mGTR","-q -mGTR","-q -mGTR",0.13,1,1,4.39811858777168,0.99188509001608
14,14,16,30,1,"-q -mGTR","-q -mGTR","-q -mGTR",0.14,1,1,4.23712989332279,0.980911403993998
14,14,16,30,1,"-q -mGTR","-q -mGTR","-q -mGTR",0.17,1,1,3.32310635645646,0.985197172767267
14,14,16,30,1,"-q -mGTR","-q -mGTR","-q -mGTR",0.2,1,1,2.69983188658552,0.973902466638148
14,14,16,30,1,"-q -mGTR","-q -mGTR","-q -mGTR",0.25,1,1,2.22988747195077,0.989727984535543
14,14,16,30,1,"-q -mGTR","-q -mGTR","-q -mGTR",0.33,1,1,1.66927352412403,0.976562478801657
14,14,16,30,1,"-q -mGTR","-q -mGTR","-q -mGTR",0.5,1,1,1.27895208610719,0.983946374076107
14,14,16,30,1,"-q -mGTR","-q -mGTR","-q -mGTR",1.0,1,1,1.00387960115105,0.99241610544201
14,14,16,30,1,"-q -mGTR","-q -mGTR","-q -mGTR",2.0,1,1,1.05542116164297,0.989613353230238
14,14,16,30,1,"-q -mGTR","-q -mGTR","-q -mGTR",3.0,1,1,1.10309674124552,0.988282020531634
14,14,16,30,1,"-q -mGTR","-q -mGTR","-q -mGTR",4.0,1,1,1.09221562906675,0.988109152026198
14,14,16,30,1,"-q -mGTR","-q -mGTR","-q -mGTR",5.0,1,1,1.10030465014254,0.995771251053858
win_width,win_step,nb_species,nb_replic,f_opt_max,seqgen_par0,seqgen_par1,seqgen_par2,scaling_factor0,scaling_factor1,scaling_factor2,lv_q_func_ratio_avg,lv_rand_ratio_avg
