win_width,win_step,nb_species,nb_replic,f_opt_max,seqgen_par0,seqgen_par1,seqgen_par2,scaling_factor0,scaling_factor1,scaling_factor2,lv_q_func_ratio_avg,lv_rand_ratio_avg
14,14,16,10,3,"-q -mGTR","-q -mGTR","-q -mGTR",1,6.0,1,1.028564338733,0.981242648786004
14,14,16,10,3,"-q -mGTR","-q -mGTR","-q -mGTR",1,7.0,1,0.915367651013969,0.995637241028521
14,14,16,10,3,"-q -mGTR","-q -mGTR","-q -mGTR",1,8.0,1,0.969518703044359,0.990392249271498
14,14,16,10,3,"-q -mGTR","-q -mGTR","-q -mGTR",1,9.0,1,0.946067845761547,1.00440339322695
14,14,16,10,3,"-q -mGTR","-q -mGTR","-q -mGTR",1,10.0,1,0.955779752500739,1.0024662193141
14,14,16,10,4,"-q -mGTR","-q -mGTR","-q -mGTR",1,0.1,1,1.00310894947928,1.04651019916011
14,14,16,10,4,"-q -mGTR","-q -mGTR","-q -mGTR",1,0.11,1,0.929288775471091,1.03882605501061
14,14,16,10,4,"-q -mGTR","-q -mGTR","-q -mGTR",1,0.13,1,0.958791410137857,1.0268566725367
14,14,16,10,4,"-q -mGTR","-q -mGTR","-q -mGTR",1,0.14,1,0.978151775107908,1.04183112537069
14,14,16,10,4,"-q -mGTR","-q -mGTR","-q -mGTR",1,0.17,1,0.963454661638504,1.0498917350959
14,14,16,10,4,"-q -mGTR","-q -mGTR","-q -mGTR",1,0.2,1,0.947348970749831,1.03825811756654
14,14,16,10,4,"-q -mGTR","-q -mGTR","-q -mGTR",1,0.25,1,0.952351759989074,1.04401899526388
14,14,16,10,4,"-q -mGTR","-q -mGTR","-q -mGTR",1,0.33,1,0.954724191312065,1.03201075301255
14,14,16,10,4,"-q -mGTR","-q -mGTR","-q -mGTR",1,0.5,1,0.944662832994465,1.03562628020321
14,14,16,10,4,"-q -mGTR","-q -mGTR","-q -mGTR",1,1.0,1,1.01313118915082,0.974933076452494
14,14,16,10,4,"-q -mGTR","-q -mGTR","-q -mGTR",1,2.0,1,1.05612672393274,1.00315958526151
14,14,16,10,4,"-q -mGTR","-q -mGTR","-q -mGTR",1,3.0,1,1.08119801840853,1.01646114181732
14,14,16,10,4,"-q -mGTR","-q -mGTR","-q -mGTR",1,4.0,1,1.0798338473475,1.0049258291394
14,14,16,10,4,"-q -mGTR","-q -mGTR","-q -mGTR",1,5.0,1,1.08955075903018,1.00762892560654
