win_width,win_step,nb_species,nb_replic,f_opt_max,seqgen_par0,seqgen_par1,seqgen_par2,scaling_factor0,scaling_factor1,scaling_factor2,lv_q_func_ratio_avg,lv_rand_ratio_avg,lv3_q_func_sup_proc_avg,lv3_rand_sup_proc_avg,lv3_q_func_inf_proc_avg,lv3_rand_inf_proc_avg
14,14,16,10,1,"-q -mGTR","-q -mGTR","-q -mGTR",0.1,1,1,5.97334879716086,0.99298172107354,0.892307692307692,0.0230769230769231,0.0,0.0
14,14,16,10,1,"-q -mGTR","-q -mGTR","-q -mGTR",0.11,1,1,5.28409935588953,0.979962350723739,0.807692307692308,0.0,0.0,0.0
14,14,16,10,1,"-q -mGTR","-q -mGTR","-q -mGTR",0.13,1,1,4.78565032931819,0.980548478855755,0.846153846153846,0.0,0.0,0.0
14,14,16,10,1,"-q -mGTR","-q -mGTR","-q -mGTR",0.14,1,1,4.10673259664911,0.986125343928795,0.730769230769231,0.0,0.0,0.0
14,14,16,10,1,"-q -mGTR","-q -mGTR","-q -mGTR",0.17,1,1,3.3282842355807,0.986007553985176,0.823076923076923,0.00769230769230769,0.0,0.0
14,14,16,10,1,"-q -mGTR","-q -mGTR","-q -mGTR",0.2,1,1,2.81137053312592,0.984492555130452,0.607692307692308,0.0,0.0,0.0
14,14,16,10,1,"-q -mGTR","-q -mGTR","-q -mGTR",0.25,1,1,2.16952708292205,0.986843909453066,0.484615384615385,0.0,0.0,0.0
14,14,16,10,1,"-q -mGTR","-q -mGTR","-q -mGTR",0.33,1,1,1.60008893383951,0.989261226887423,0.338461538461538,0.0,0.0,0.0
14,14,16,10,1,"-q -mGTR","-q -mGTR","-q -mGTR",0.5,1,1,1.33537801494317,0.993353782060013,0.138461538461538,0.0,0.0,0.0
14,14,16,10,1,"-q -mGTR","-q -mGTR","-q -mGTR",1.0,1,1,1.02015320918606,1.00072672828128,0.0230769230769231,0.00769230769230769,0.0,0.0
14,14,16,10,1,"-q -mGTR","-q -mGTR","-q -mGTR",2.0,1,1,1.0702970159922,0.989060813283521,0.0307692307692308,0.00769230769230769,0.0153846153846154,0.0
14,14,16,10,1,"-q -mGTR","-q -mGTR","-q -mGTR",3.0,1,1,1.10762193574956,0.995918384116874,0.115384615384615,0.00769230769230769,0.0230769230769231,0.0
14,14,16,10,1,"-q -mGTR","-q -mGTR","-q -mGTR",4.0,1,1,1.12093026473982,0.992285263146402,0.130769230769231,0.00769230769230769,0.00769230769230769,0.0
14,14,16,10,1,"-q -mGTR","-q -mGTR","-q -mGTR",5.0,1,1,1.13957069505384,0.992905238041396,0.130769230769231,0.0,0.0153846153846154,0.0
14,14,16,10,1,"-q -mGTR","-q -mGTR","-q -mGTR",6.0,1,1,1.09428036572297,0.995892127143943,0.107692307692308,0.0,0.0,0.0
14,14,16,10,1,"-q -mGTR","-q -mGTR","-q -mGTR",7.0,1,1,1.09196160914032,0.990504300153211,0.138461538461538,0.00769230769230769,0.0,0.0
14,14,16,10,1,"-q -mGTR","-q -mGTR","-q -mGTR",8.0,1,1,1.085079033649,0.988418447404592,0.115384615384615,0.00769230769230769,0.0230769230769231,0.0
14,14,16,10,1,"-q -mGTR","-q -mGTR","-q -mGTR",9.0,1,1,1.11932426583927,0.984926376897154,0.115384615384615,0.00769230769230769,0.00769230769230769,0.0
14,14,16,10,1,"-q -mGTR","-q -mGTR","-q -mGTR",10.0,1,1,1.10153873835539,0.992564337001715,0.115384615384615,0.00769230769230769,0.0384615384615385,0.0
14,14,16,10,2,"-q -mGTR","-q -mGTR","-q -mGTR",0.1,1,1,5.97302973937262,0.972718039017156,0.807692307692308,0.0,0.0,0.0
14,14,16,10,2,"-q -mGTR","-q -mGTR","-q -mGTR",0.11,1,1,5.39616074628356,0.970504679100584,0.761538461538461,0.0,0.0,0.0
14,14,16,10,2,"-q -mGTR","-q -mGTR","-q -mGTR",0.13,1,1,4.56007615880763,0.983620892151984,0.638461538461539,0.0,0.0,0.0
14,14,16,10,2,"-q -mGTR","-q -mGTR","-q -mGTR",0.14,1,1,4.14317000902218,0.973047899939119,0.646153846153846,0.00769230769230769,0.0,0.0
14,14,16,10,2,"-q -mGTR","-q -mGTR","-q -mGTR",0.17,1,1,3.47399366941368,0.96928279305313,0.669230769230769,0.0,0.0,0.0
14,14,16,10,2,"-q -mGTR","-q -mGTR","-q -mGTR",0.2,1,1,2.8730230067793,0.962029380293866,0.638461538461538,0.0,0.0,0.0
14,14,16,10,2,"-q -mGTR","-q -mGTR","-q -mGTR",0.25,1,1,2.36019914343723,0.976430039723779,0.523076923076923,0.0,0.0,0.0
14,14,16,10,2,"-q -mGTR","-q -mGTR","-q -mGTR",0.33,1,1,1.8761721679018,0.986809957995031,0.376923076923077,0.0,0.0,0.0
14,14,16,10,2,"-q -mGTR","-q -mGTR","-q -mGTR",0.5,1,1,1.32782550443224,0.985678127842962,0.123076923076923,0.0,0.0,0.0
14,14,16,10,2,"-q -mGTR","-q -mGTR","-q -mGTR",1.0,1,1,1.03233951377804,0.989967343588764,0.0384615384615385,0.0153846153846154,0.0153846153846154,0.0
14,14,16,10,2,"-q -mGTR","-q -mGTR","-q -mGTR",2.0,1,1,0.979568034226228,0.993015162319953,0.0769230769230769,0.0,0.0692307692307692,0.0
14,14,16,10,2,"-q -mGTR","-q -mGTR","-q -mGTR",3.0,1,1,1.05650912116373,0.995705749875525,0.0384615384615385,0.00769230769230769,0.00769230769230769,0.0
