test_name,test_ident,nb_replic,nb_species,f_opt_max,scaling_factor0,scaling_factor1,scaling_factor2,pval_sup_q0,pval_sup_q25,pval_sup_q50,pval_sup_q75,pval_sup_q100,pval_inf_q0,pval_inf_q25,pval_inf_q50,pval_inf_q75,pval_inf_q100
simple_func,test6,5,16,6,0.5,0.5,0.5,0.00238095238095238,0.00238095238095238,0.00952380952380952,0.00952380952380952,0.019047619047619,0.983333333333333,0.992857142857143,0.992857142857143,1.0,1.0
simple_func,test6,5,16,6,0.5,0.475,0.525,0.00238095238095238,0.00238095238095238,0.00238095238095238,0.0119047619047619,0.019047619047619,0.983333333333333,0.990476190476191,1.0,1.0,1.0
simple_func,test6,5,16,6,0.5,0.45,0.55,0.00238095238095238,0.00238095238095238,0.00714285714285714,0.00952380952380952,0.0119047619047619,0.990476190476191,0.992857142857143,0.995238095238095,1.0,1.0
simple_func,test6,5,16,6,0.5,0.425,0.575,0.00238095238095238,0.00238095238095238,0.00476190476190476,0.00476190476190476,0.00714285714285714,0.995238095238095,0.997619047619048,0.997619047619048,1.0,1.0
simple_func,test6,5,16,6,0.5,0.4,0.6,0.00238095238095238,0.00238095238095238,0.00238095238095238,0.00476190476190476,0.00714285714285714,0.995238095238095,0.997619047619048,1.0,1.0,1.0
simple_func,test6,5,16,6,0.5,0.375,0.625,0.00238095238095238,0.00238095238095238,0.00238095238095238,0.00238095238095238,0.00952380952380952,0.992857142857143,1.0,1.0,1.0,1.0
simple_func,test6,5,16,6,0.5,0.35,0.65,0.00238095238095238,0.00238095238095238,0.00238095238095238,0.00714285714285714,0.00714285714285714,0.995238095238095,0.995238095238095,1.0,1.0,1.0
simple_func,test6,5,16,6,0.5,0.325,0.675,0.00238095238095238,0.00476190476190476,0.00714285714285714,0.00714285714285714,0.00714285714285714,0.995238095238095,0.995238095238095,0.995238095238095,0.997619047619048,1.0
simple_func,test6,5,16,6,0.5,0.3,0.7,0.00238095238095238,0.00238095238095238,0.00714285714285714,0.0119047619047619,0.0142857142857143,0.988095238095238,0.990476190476191,0.995238095238095,1.0,1.0
simple_func,test6,5,16,6,0.5,0.275,0.725,0.00238095238095238,0.00238095238095238,0.0119047619047619,0.0119047619047619,0.0238095238095238,0.978571428571429,0.990476190476191,0.990476190476191,1.0,1.0
simple_func,test6,5,16,6,0.5,0.25,0.75,0.00238095238095238,0.00238095238095238,0.00476190476190476,0.00476190476190476,0.342857142857143,0.65952380952381,0.997619047619048,0.997619047619048,1.0,1.0
simple_func,test6,5,16,6,0.5,0.225,0.775,0.00238095238095238,0.00476190476190476,0.00714285714285714,0.00952380952380952,0.00952380952380952,0.992857142857143,0.992857142857143,0.995238095238095,0.997619047619048,1.0
simple_func,test6,5,16,6,0.5,0.2,0.8,0.00238095238095238,0.00238095238095238,0.00476190476190476,0.00952380952380952,0.0214285714285714,0.980952380952381,0.992857142857143,0.997619047619048,1.0,1.0
simple_func,test6,5,16,6,0.5,0.175,0.825,0.00238095238095238,0.00476190476190476,0.00476190476190476,0.00714285714285714,0.0142857142857143,0.988095238095238,0.995238095238095,0.997619047619048,0.997619047619048,1.0
simple_func,test6,5,16,6,0.5,0.15,0.85,0.00238095238095238,0.00238095238095238,0.00238095238095238,0.00238095238095238,0.00476190476190476,0.997619047619048,1.0,1.0,1.0,1.0
simple_func,test6,5,16,6,0.5,0.125,0.875,0.00238095238095238,0.00238095238095238,0.00476190476190476,0.00714285714285714,0.00952380952380952,0.992857142857143,0.995238095238095,0.997619047619048,1.0,1.0
simple_func,test6,5,16,6,0.5,0.1,0.9,0.00476190476190476,0.00476190476190476,0.00714285714285714,0.00714285714285714,0.00714285714285714,0.995238095238095,0.995238095238095,0.995238095238095,0.997619047619048,0.997619047619048
simple_func,test6,5,16,6,0.5,0.075,0.925,0.00238095238095238,0.00238095238095238,0.00238095238095238,0.00476190476190476,0.00952380952380952,0.992857142857143,0.997619047619048,1.0,1.0,1.0
simple_func,test6,5,16,6,0.5,0.05,0.95,0.00238095238095238,0.00238095238095238,0.00714285714285714,0.019047619047619,0.704761904761905,0.297619047619048,0.983333333333333,0.995238095238095,1.0,1.0
simple_func,test6,5,16,6,0.5,0.025,0.975,0.245238095238095,0.245238095238095,0.547619047619048,0.864285714285714,0.916666666666667,0.0857142857142857,0.138095238095238,0.454761904761905,0.757142857142857,0.757142857142857
