test_name,test_ident,nb_replic,nb_species,f_opt_max,scaling_factor0,scaling_factor1,scaling_factor2,pval_sup_q0,pval_sup_q25,pval_sup_q50,pval_sup_q75,pval_sup_q100,pval_inf_q0,pval_inf_q25,pval_inf_q50,pval_inf_q75,pval_inf_q100
simple_func,test6,5,16,6,0.5,0.5,0.5,0.138095238095238,0.142857142857143,0.39047619047619,0.471428571428571,0.828571428571429,0.173809523809524,0.530952380952381,0.611904761904762,0.85952380952381,0.864285714285714
simple_func,test6,5,16,6,0.5,0.475,0.525,0.0214285714285714,0.104761904761905,0.30952380952381,0.44047619047619,0.721428571428571,0.280952380952381,0.561904761904762,0.692857142857143,0.897619047619048,0.980952380952381
simple_func,test6,5,16,6,0.5,0.45,0.55,0.0642857142857143,0.157142857142857,0.266666666666667,0.278571428571429,0.552380952380952,0.45,0.723809523809524,0.735714285714286,0.845238095238095,0.938095238095238
simple_func,test6,5,16,6,0.5,0.425,0.575,0.347619047619048,0.464285714285714,0.65,0.669047619047619,0.807142857142857,0.195238095238095,0.333333333333333,0.352380952380952,0.538095238095238,0.654761904761905
simple_func,test6,5,16,6,0.5,0.4,0.6,0.116666666666667,0.30952380952381,0.569047619047619,0.595238095238095,0.721428571428571,0.280952380952381,0.407142857142857,0.433333333333333,0.695238095238095,0.885714285714286
simple_func,test6,5,16,6,0.5,0.375,0.625,0.121428571428571,0.34047619047619,0.485714285714286,0.747619047619048,0.89047619047619,0.111904761904762,0.254761904761905,0.516666666666667,0.661904761904762,0.880952380952381
simple_func,test6,5,16,6,0.5,0.35,0.65,0.25952380952381,0.373809523809524,0.530952380952381,0.552380952380952,0.721428571428571,0.280952380952381,0.45,0.471428571428571,0.628571428571429,0.742857142857143
simple_func,test6,5,16,6,0.5,0.325,0.675,0.135714285714286,0.192857142857143,0.345238095238095,0.55,0.85952380952381,0.142857142857143,0.452380952380952,0.657142857142857,0.80952380952381,0.866666666666667
simple_func,test6,5,16,6,0.5,0.3,0.7,0.333333333333333,0.411904761904762,0.645238095238095,0.945238095238095,0.997619047619048,0.00476190476190476,0.0571428571428571,0.357142857142857,0.59047619047619,0.669047619047619
simple_func,test6,5,16,6,0.5,0.275,0.725,0.0714285714285714,0.123809523809524,0.152380952380952,0.228571428571429,0.235714285714286,0.766666666666667,0.773809523809524,0.85,0.878571428571429,0.930952380952381
simple_func,test6,5,16,6,0.5,0.25,0.75,0.00714285714285714,0.0333333333333333,0.0476190476190476,0.0928571428571429,0.107142857142857,0.895238095238095,0.90952380952381,0.954761904761905,0.969047619047619,0.995238095238095
simple_func,test6,5,16,6,0.5,0.225,0.775,0.0214285714285714,0.0214285714285714,0.0547619047619048,0.216666666666667,0.30952380952381,0.692857142857143,0.785714285714286,0.947619047619048,0.980952380952381,0.980952380952381
simple_func,test6,5,16,6,0.5,0.2,0.8,0.111904761904762,0.166666666666667,0.238095238095238,0.383333333333333,0.428571428571429,0.573809523809524,0.619047619047619,0.764285714285714,0.835714285714286,0.89047619047619
simple_func,test6,5,16,6,0.5,0.175,0.825,0.1,0.3,0.392857142857143,0.523809523809524,0.573809523809524,0.428571428571429,0.478571428571429,0.60952380952381,0.702380952380952,0.902380952380952
simple_func,test6,5,16,6,0.5,0.15,0.85,0.0214285714285714,0.0571428571428571,0.111904761904762,0.14047619047619,0.795238095238095,0.207142857142857,0.861904761904762,0.89047619047619,0.945238095238095,0.980952380952381
simple_func,test6,5,16,6,0.5,0.125,0.875,0.0666666666666667,0.102380952380952,0.123809523809524,0.157142857142857,0.24047619047619,0.761904761904762,0.845238095238095,0.878571428571429,0.9,0.935714285714286
simple_func,test6,5,16,6,0.5,0.1,0.9,0.00952380952380952,0.0166666666666667,0.0452380952380952,0.0523809523809524,0.152380952380952,0.85,0.95,0.957142857142857,0.985714285714286,0.992857142857143
simple_func,test6,5,16,6,0.5,0.075,0.925,0.05,0.121428571428571,0.126190476190476,0.211904761904762,0.623809523809524,0.378571428571429,0.79047619047619,0.876190476190476,0.880952380952381,0.952380952380952
simple_func,test6,5,16,6,0.5,0.05,0.95,0.019047619047619,0.0380952380952381,0.102380952380952,0.178571428571429,0.25952380952381,0.742857142857143,0.823809523809524,0.9,0.964285714285714,0.983333333333333
simple_func,test6,5,16,6,0.5,0.025,0.975,0.0238095238095238,0.030952380952381,0.0928571428571429,0.104761904761905,0.207142857142857,0.795238095238095,0.897619047619048,0.90952380952381,0.971428571428571,0.978571428571429
