"win_length","x","dXY","dXY_inv","vX","vX_inv","vY","vY_inv","Q0","Q1","Q2","Q3","Q4","nx","ny","gap_prop","A_dXY","A_dXY_inv","A_vX","A_vX_inv","A_vY","A_vY_inv","A_Q1","A_nx","A_ny","A_gap_prop","A_rand_idx","A_adj_rand_idx",,,,,,,,,,,,,,,,,,,,,,,
9,0,0.44,0,0,0,1.19E-007,0,0.44,67,2,0,0.94,0.47,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"win_length","x","dXY","dXY_inv","vX","vX_inv","vY","vY_inv","Q0","Q1","Q2","Q3","Q4","nx","ny","gap_prop","A_dXY","A_dXY_inv","A_vX","A_vX_inv","A_vY","A_vY_inv","A_Q1","A_nx","A_ny","A_gap_prop","A_rand_idx","A_adj_rand_idx",,,,,,,,,,,,,,,,,,,,,,,
9,0,0.22,0,0.44,0,0.01,0,-0.25,-0.22,0.21,-0.01,0.22,2,67,0,0.44,0,0,0,1.19E-007,0,0.44,67,2,0,0.94,0.47,0.03,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"win_length","x","dXY","dXY_inv","vX","vX_inv","vY","vY_inv","Q0","Q1","Q2","Q3","Q4","nx","ny","gap_prop","A_dXY","A_dXY_inv","A_vX","A_vX_inv","A_vY","A_vY_inv","A_Q1","A_nx","A_ny","A_rand_idx","A_adj_rand_idx","A_ham_idx",,,,,,,,,,,,
,,,,,,,,,,,9,0,0.22,0,0.44,0,0.01,0,-0.25,-0.22,0.21,-0.01,0.22,2,67,0,0.44,0,0,0,1.19E-007,0,0.44,67,2,0.94,0.47,0.03,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"win_length","x","dXY","dXY_inv","vX","vX_inv","vY","vY_inv","Q0","Q1","Q2","Q3","Q4","nx","ny","gap_prop","A_dXY","A_dXY_inv","A_vX","A_vX_inv","A_vY","A_vY_inv","A_Q1","A_nx","A_ny","A_rand_idx","A_adj_rand_idx","A_ham_idx",,,,,,,,,,,,,,,,,,,,,,,
9,0,0.44,0,0,0,0,0,0.37,0.44,0.44,0.89,0.44,2,67,0,0.44,0,0,0,1.19E-007,0,0.44,67,2,1,1,0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
